Year,Quarter,State,RegisteredUsers
2018,1,Andhra Pradesh,3336450
2018,1,Bihar,2133804
2018,1,Gujarat,2690048
2018,1,Karnataka,3717763
2018,1,Madhya Pradesh,2553603
2018,1,Maharashtra,6106994
2018,1,Rajasthan,3158202
2018,1,Telangana,3315560
2018,1,Uttar Pradesh,4694250
2018,1,West Bengal,2604789
2018,2,Andhra Pradesh,4402540
2018,2,Bihar,3005872
2018,2,Gujarat,3565825
2018,2,Karnataka,5030665
2018,2,Madhya Pradesh,3441662
2018,2,Maharashtra,8222371
2018,2,Rajasthan,4212964
2018,2,Telangana,4260115
2018,2,Uttar Pradesh,6442554
2018,2,West Bengal,3833795
2018,3,Andhra Pradesh,5427617
2018,3,Gujarat,4433183
2018,3,Karnataka,6372649
2018,3,Madhya Pradesh,4309309
2018,3,Maharashtra,10435033
2018,3,Rajasthan,5175453
2018,3,Tamil Nadu,3900177
2018,3,Telangana,5138501
2018,3,Uttar Pradesh,8096483
2018,3,West Bengal,4851740
2018,4,Andhra Pradesh,6857409
2018,4,Gujarat,5579040
2018,4,Karnataka,8315802
2018,4,Madhya Pradesh,5365442
2018,4,Maharashtra,13381602
2018,4,Rajasthan,6358738
2018,4,Tamil Nadu,5199878
2018,4,Telangana,6529679
2018,4,Uttar Pradesh,10341964
2018,4,West Bengal,6279278
2019,1,Andhra Pradesh,8283019
2019,1,Gujarat,6652536
2019,1,Karnataka,10266174
2019,1,Madhya Pradesh,6414403
2019,1,Maharashtra,16284451
2019,1,Rajasthan,7712204
2019,1,Tamil Nadu,6296303
2019,1,Telangana,7963425
2019,1,Uttar Pradesh,12458661
2019,1,West Bengal,7449425
2019,2,Andhra Pradesh,9389003
2019,2,Gujarat,7574645
2019,2,Karnataka,11968087
2019,2,Madhya Pradesh,7301172
2019,2,Maharashtra,18776975
2019,2,Rajasthan,8783935
2019,2,Tamil Nadu,7429609
2019,2,Telangana,9046007
2019,2,Uttar Pradesh,14316349
2019,2,West Bengal,8612795
2019,3,Andhra Pradesh,10458693
2019,3,Gujarat,8429299
2019,3,Karnataka,13635075
2019,3,Madhya Pradesh,8180664
2019,3,Maharashtra,21313081
2019,3,Rajasthan,9797304
2019,3,Tamil Nadu,8428835
2019,3,Telangana,10090557
2019,3,Uttar Pradesh,16044607
2019,3,West Bengal,9643222
2019,4,Andhra Pradesh,11757883
2019,4,Gujarat,9323799
2019,4,Karnataka,15385416
2019,4,Madhya Pradesh,9165241
2019,4,Maharashtra,23745297
2019,4,Rajasthan,10925031
2019,4,Tamil Nadu,9620493
2019,4,Telangana,11220691
2019,4,Uttar Pradesh,17949542
2019,4,West Bengal,10885058
2020,1,Andhra Pradesh,13022060
2020,1,Gujarat,10259843
2020,1,Karnataka,17016980
2020,1,Madhya Pradesh,10151371
2020,1,Maharashtra,26168390
2020,1,Rajasthan,12142053
2020,1,Tamil Nadu,10872368
2020,1,Telangana,12306860
2020,1,Uttar Pradesh,20136256
2020,1,West Bengal,11960822
2020,2,Andhra Pradesh,14319675
2020,2,Gujarat,11392657
2020,2,Karnataka,18655366
2020,2,Madhya Pradesh,11374423
2020,2,Maharashtra,28765086
2020,2,Rajasthan,13563201
2020,2,Tamil Nadu,12150786
2020,2,Telangana,13378191
2020,2,Uttar Pradesh,22498519
2020,2,West Bengal,13222022
2020,3,Andhra Pradesh,15692405
2020,3,Gujarat,12467847
2020,3,Karnataka,20487550
2020,3,Madhya Pradesh,12564224
2020,3,Maharashtra,31409513
2020,3,Rajasthan,14969412
2020,3,Tamil Nadu,13643451
2020,3,Telangana,14590882
2020,3,Uttar Pradesh,24838116
2020,3,West Bengal,14448366
2020,4,Andhra Pradesh,17076565
2020,4,Gujarat,13605203
2020,4,Karnataka,22400182
2020,4,Madhya Pradesh,13737947
2020,4,Maharashtra,34432631
2020,4,Rajasthan,16329494
2020,4,Tamil Nadu,15357586
2020,4,Telangana,15927797
2020,4,Uttar Pradesh,27249134
2020,4,West Bengal,15662093
2021,1,Andhra Pradesh,18363733
2021,1,Gujarat,14670126
2021,1,Karnataka,24095832
2021,1,Madhya Pradesh,14839427
2021,1,Maharashtra,37077537
2021,1,Rajasthan,17661088
2021,1,Tamil Nadu,16632608
2021,1,Telangana,17149069
2021,1,Uttar Pradesh,29482075
2021,1,West Bengal,16808799
2021,2,Andhra Pradesh,19620905
2021,2,Gujarat,15735981
2021,2,Karnataka,25751023
2021,2,Madhya Pradesh,15940935
2021,2,Maharashtra,39664697
2021,2,Rajasthan,18980985
2021,2,Tamil Nadu,17804542
2021,2,Telangana,18306880
2021,2,Uttar Pradesh,31651894
2021,2,West Bengal,17979979
2021,3,Andhra Pradesh,21059898
2021,3,Gujarat,16946761
2021,3,Karnataka,27614221
2021,3,Madhya Pradesh,17210233
2021,3,Maharashtra,42581217
2021,3,Rajasthan,20499465
2021,3,Tamil Nadu,19127440
2021,3,Telangana,19615278
2021,3,Uttar Pradesh,34151882
2021,3,West Bengal,19323278
2021,4,Andhra Pradesh,22489029
2021,4,Gujarat,18139201
2021,4,Karnataka,29459646
2021,4,Madhya Pradesh,18456243
2021,4,Maharashtra,45482506
2021,4,Rajasthan,21977202
2021,4,Tamil Nadu,20433142
2021,4,Telangana,20917649
2021,4,Uttar Pradesh,36617655
2021,4,West Bengal,20644527
2022,1,Andhra Pradesh,23857951
2022,1,Gujarat,19265314
2022,1,Karnataka,31200349
2022,1,Madhya Pradesh,19656147
2022,1,Maharashtra,48227630
2022,1,Rajasthan,23398857
2022,1,Tamil Nadu,21667020
2022,1,Telangana,22150612
2022,1,Uttar Pradesh,38999692
2022,1,West Bengal,21919787
2022,2,Andhra Pradesh,25157264
2022,2,Gujarat,20321596
2022,2,Karnataka,32831447
2022,2,Madhya Pradesh,20766417
2022,2,Maharashtra,50802786
2022,2,Rajasthan,24716181
2022,2,Tamil Nadu,22829720
2022,2,Telangana,23314363
2022,2,Uttar Pradesh,41247289
2022,2,West Bengal,23124388
2022,3,Andhra Pradesh,26496330
2022,3,Gujarat,21394721
2022,3,Karnataka,34493994
2022,3,Madhya Pradesh,21884220
2022,3,Maharashtra,53432602
2022,3,Rajasthan,26042948
2022,3,Tamil Nadu,24019964
2022,3,Telangana,24506111
2022,3,Uttar Pradesh,43537920
2022,3,West Bengal,24372048
2022,4,Andhra Pradesh,27778016
2022,4,Gujarat,22412353
2022,4,Karnataka,36081698
2022,4,Madhya Pradesh,22913924
2022,4,Maharashtra,55954028
2022,4,Rajasthan,27255927
2022,4,Tamil Nadu,25136112
2022,4,Telangana,25656381
2022,4,Uttar Pradesh,45648650
2022,4,West Bengal,25536381
2023,1,Andhra Pradesh,29065863
2023,1,Gujarat,23436230
2023,1,Karnataka,37681426
2023,1,Madhya Pradesh,24002818
2023,1,Maharashtra,58470784
2023,1,Rajasthan,28523031
2023,1,Tamil Nadu,26270663
2023,1,Telangana,26804259
2023,1,Uttar Pradesh,47806049
2023,1,West Bengal,26732895
2023,2,Andhra Pradesh,30240061
2023,2,Gujarat,24396768
2023,2,Karnataka,39122314
2023,2,Madhya Pradesh,25042930
2023,2,Maharashtra,60766850
2023,2,Rajasthan,29745609
2023,2,Tamil Nadu,27317599
2023,2,Telangana,27814633
2023,2,Uttar Pradesh,49829833
2023,2,West Bengal,27827662
2023,3,Andhra Pradesh,31493897
2023,3,Gujarat,25383429
2023,3,Karnataka,40634390
2023,3,Madhya Pradesh,26109033
2023,3,Maharashtra,63150997
2023,3,Rajasthan,30997182
2023,3,Tamil Nadu,28405436
2023,3,Telangana,28896668
2023,3,Uttar Pradesh,51870932
2023,3,West Bengal,28966414
2023,4,Andhra Pradesh,32658698
2023,4,Gujarat,26312655
2023,4,Karnataka,42031396
2023,4,Madhya Pradesh,27078072
2023,4,Maharashtra,65422120
2023,4,Rajasthan,32157348
2023,4,Tamil Nadu,29452801
2023,4,Telangana,29902636
2023,4,Uttar Pradesh,53799813
2023,4,West Bengal,30064546
2024,1,Andhra Pradesh,34008709
2024,1,Gujarat,27381972
2024,1,Karnataka,43668141
2024,1,Madhya Pradesh,28238554
2024,1,Maharashtra,68016876
2024,1,Rajasthan,33505514
2024,1,Tamil Nadu,30638750
2024,1,Telangana,31082447
2024,1,Uttar Pradesh,56028765
2024,1,West Bengal,31306843
2024,2,Andhra Pradesh,35303719
2024,2,Gujarat,28439885
2024,2,Karnataka,45290606
2024,2,Madhya Pradesh,29324466
2024,2,Maharashtra,70597223
2024,2,Rajasthan,34773619
2024,2,Tamil Nadu,31818880
2024,2,Telangana,32232171
2024,2,Uttar Pradesh,58199149
2024,2,West Bengal,32540397
2024,3,Andhra Pradesh,29145303
2024,3,Bihar,31899315
2024,3,Karnataka,44548391
2024,3,Madhya Pradesh,31764084
2024,3,Maharashtra,69641161
2024,3,Rajasthan,35583171
2024,3,Tamil Nadu,32965209
2024,3,Telangana,30776242
2024,3,Uttar Pradesh,67922000
2024,3,West Bengal,33612828
2024,4,Andhra Pradesh,29984431
2024,4,Bihar,33345285
2024,4,Karnataka,45917653
2024,4,Madhya Pradesh,32876660
2024,4,Maharashtra,71807805
2024,4,Rajasthan,36828375
2024,4,Tamil Nadu,33966610
2024,4,Telangana,31726856
2024,4,Uttar Pradesh,70474113
2024,4,West Bengal,34750181
